카테고리,세부,브랜드,제품명,태그,용량/가격,별점,리뷰수,이미지,제품링크
페이스오일,페이스오일,겔랑,아베이 로얄 어드밴스드 유쓰 워터리 오일,"#기능성, #보습, #주름개선, #피부탄력","30ml / 147,000원",4.56,리뷰 131,https://dn5hzapyfrpio.cloudfront.net/product/b24/b24450e0-fa63-11eb-8111-9753272e5933.jpeg,https://www.glowpick.com/products/149527
페이스오일,페이스오일,데저트에센스,100% 퓨어 호호바 오일,"#보습, #비타민함유, #유기농화장품, #저자극, #클린뷰티, #피부탄력","118ml / 27,700원",4.49,리뷰 333,https://dn5hzapyfrpio.cloudfront.net/product/a8f/a8fb8c80-a7e2-11ef-9470-ff6cf127613e.jpeg,https://www.glowpick.com/products/99336
페이스오일,페이스오일,눅스,윌 프로디쥬스 멀티 플로럴 오일,"#고보습, #멀티오일, #보습, #영양공급, #피부진정","100ml / 52,000원",4.47,리뷰 342,https://dn5hzapyfrpio.cloudfront.net/home/glowmee/upload/20190905/1567667761947.jpg,https://www.glowpick.com/products/125092
페이스오일,페이스오일,시드물,프리미엄 호호바 오일,"#멀티오일, #보습, #수분공급, #영양공급, #윤기부여, #피부유연, #피부투명","100ml / 16,300원",4.41,리뷰 260,https://dn5hzapyfrpio.cloudfront.net/home/glowmee/upload/20150121/1421819063754.jpg,https://www.glowpick.com/products/24666
페이스오일,페이스오일,나우푸드,100% 퓨어 유기농 호호바 오일,"#고보습, #저자극","118ml / 14,000원",4.31,리뷰 696,https://dn5hzapyfrpio.cloudfront.net/home/glowmee/upload/20180709/1531114098196.png,https://www.glowpick.com/products/69809
페이스오일,페이스오일,데저트에센스,오가닉 호호바 오일,"#보습, #비타민함유, #유기농화장품, #피부탄력","118ml / 26,900원",4.38,리뷰 304,https://dn5hzapyfrpio.cloudfront.net/home/glowmee/upload/product/20200521/1590050902442.jpg,https://www.glowpick.com/products/99338
페이스오일,페이스오일,스킨아이,내추럴 발효 동백오일 100,"#보습, #피부진정, #피부탄력","20ml / 29,000원",4.39,리뷰 70,https://dn5hzapyfrpio.cloudfront.net/home/glowmee/upload/20170201/1485937463691.png,https://www.glowpick.com/products/87112
페이스오일,페이스오일,시드물,자연산 냉압착 호호바 오일,"#보습, #수분공급, #저자극","12ml / 6,500원",4.25,"리뷰 1,463",https://dn5hzapyfrpio.cloudfront.net/product/c51/c511a580-4106-11ec-81c8-61aa9a637a1e.jpeg,https://www.glowpick.com/products/24670
페이스오일,페이스오일,홀리카홀리카,굳세라 수퍼 세라마이드 에센셜 오일,"#영양공급, #윤기, #저자극","40ml / 20,000원",4.27,리뷰 177,https://dn5hzapyfrpio.cloudfront.net/product/416/41614400-4108-11ec-80e4-d565687db528.jpeg,https://www.glowpick.com/products/111488
페이스오일,페이스오일,아이오페,골든 글로우 페이스 오일,"#보습, #영양공급, #윤기, #피부탄력","40ml / 42,000원",4.27,리뷰 380,https://dn5hzapyfrpio.cloudfront.net/home/glowmee/upload/20161201/1480579823592.jpg,https://www.glowpick.com/products/83648
